ts_ms,cpu_pct,rss_kb
1775050339244,8.8,112448
1775050340293,13.4,112448
1775050341346,16.7,112448
1775050342396,9.4,112448
1775050343458,8.5,112448
1775050344513,18.9,112448
1775050345557,14.0,112448
1775050346611,15.2,112464
1775050347658,10.5,112464
1775050348709,11.6,112464
1775050349762,8.2,112464
1775050350810,15.3,112448
1775050351858,15.5,112448
1775050352912,8.8,112448
1775050353983,8.4,112448
1775050355031,13.6,112448
1775050356123,10.7,112240
1775050357177,8.9,112272
1775050358230,9.9,112256
1775050359281,12.8,112288
1775050360331,14.0,112288
1775050361388,13.7,112288
1775050362444,8.6,112288
1775050363498,8.1,112288
1775050364545,14.4,112288
1775050365591,15.3,112288
1775050366640,13.3,112288
1775050367697,8.5,112288
1775050368753,8.9,112288
1775050369806,15.0,112272
1775050370846,15.4,112272
1775050371896,16.2,112272
1775050372945,8.7,112272
1775050373995,12.4,112272
1775050375052,13.2,112352
1775050376103,14.6,112352
1775050377155,16.2,112352
1775050378207,11.0,112352
1775050379254,11.6,112352
1775050380298,12.1,112352
1775050381346,13.7,112352
1775050382411,12.1,112368
1775050383456,12.6,112416
1775050384511,7.5,112416
1775050385560,12.9,112416
1775050386610,14.6,112416
1775050387668,15.1,112416
1775050388727,10.9,112416
1775050389790,11.6,112416
1775050390834,13.3,112416
1775050391882,13.2,112416
1775050392939,11.9,112416
1775050393991,13.2,112416
1775050395044,14.8,112416
1775050396109,11.7,112416
1775050397154,13.4,112416
1775050398199,10.9,112416
1775050399246,12.8,112416
1775050400296,13.7,112416
1775050401340,8.3,112416
1775050402391,8.5,112416
1775050403442,9.2,112416
1775050404491,17.7,112416
1775050405542,13.0,112416
1775050406590,15.1,112416
1775050407649,10.3,112416
1775050408712,10.8,112416
1775050409764,18.9,112416
1775050410814,16.4,112416
1775050411864,10.2,112416
1775050412914,10.0,112416
1775050413977,13.7,112416
1775050415024,13.1,112416
1775050416067,13.0,112416
1775050417115,11.0,112416
1775050418160,10.8,112416
1775050419210,11.1,112416
1775050420258,15.6,112416
1775050421306,15.9,112416
1775050422347,16.3,112416
1775050423404,10.7,112416
1775050424460,9.6,112416
1775050425516,14.0,112416
1775050426584,16.7,112416
1775050427634,11.6,112416
1775050428688,9.5,112416
1775050429745,9.5,112416
1775050430803,19.3,112416
1775050431853,11.1,112400
1775050432904,10.5,112400
1775050433963,11.3,112400
1775050435026,19.3,112400
1775050436085,14.8,112416
1775050437129,17.0,112416
1775050438175,8.1,112416
1775050439232,8.9,112416
1775050440354,11.4,112272
1775050441410,9.9,112288
1775050442474,8.1,112288
1775050443531,13.3,112288
1775050444574,13.3,112304
1775050445628,13.3,112320
1775050446695,7.5,112320
1775050447742,5.8,112320
1775050448795,15.1,112320
1775050449845,13.1,112320
1775050450893,19.3,112320
1775050451955,11.3,112352
1775050453004,8.0,112352
1775050454056,15.0,112352
1775050455109,15.5,112336
1775050456170,9.0,112352
1775050457218,10.4,112352
1775050458272,8.8,112352
1775050459329,13.5,112352
1775050460389,14.3,112352
1775050461440,10.4,112352
1775050462495,10.2,112352
1775050463540,11.5,112352
1775050464591,18.2,112352
1775050465640,15.5,112432
1775050466690,11.6,112432
1775050467739,11.2,113296
1775050468792,14.0,113296
1775050469838,14.5,113296
1775050470888,15.5,113296
1775050471942,12.0,113296
1775050472994,12.7,113296
1775050474050,12.5,113296
1775050475106,15.2,113296
1775050476161,13.8,113296
1775050477215,15.2,113296
1775050478262,11.3,113312
1775050479311,15.4,113312
1775050480366,7.6,113312
1775050481436,9.6,113312
1775050482479,14.7,113312
1775050483538,12.9,113312
1775050484583,14.1,113312
1775050485639,11.8,113312
1775050486689,12.5,113312
1775050487740,16.4,113312
1775050488783,15.6,113312
1775050489826,14.7,113312
1775050490874,10.2,113312
1775050491939,10.8,113312
1775050493002,14.2,113312
1775050494058,11.9,113280
1775050495114,9.9,113264
1775050496176,8.3,113248
1775050497238,17.2,113248
1775050498284,15.0,113248
1775050499342,14.9,113248
1775050500396,11.1,113248
1775050501471,9.9,113248
1775050502542,16.7,113248
1775050503594,17.3,113248
1775050504658,9.9,113232
1775050505713,7.8,113232
1775050506782,17.4,113232
1775050507831,18.4,113232
1775050508891,9.4,113232
1775050509958,9.3,113232
1775050511011,16.4,113232
1775050512062,16.4,113232
1775050513108,12.7,113232
1775050514165,9.1,113232
1775050515234,10.5,113232
1775050516293,16.2,113232
1775050517348,14.5,113232
1775050518409,9.5,113200
1775050519478,7.8,113200
1775050520537,14.2,113200
1775050521722,8.3,113104
1775050522927,9.1,112256
1775050523978,9.5,112256
1775050525043,19.6,112320
1775050526100,16.5,112336
1775050527149,15.0,112336
1775050528198,9.1,112336
1775050529246,12.0,112336
1775050530290,8.9,112336
1775050531348,14.0,112336
1775050532399,11.8,112336
1775050533457,8.6,112336
1775050534510,9.5,112336
1775050535575,14.8,112336
1775050536638,13.5,112336
1775050537681,15.0,112336
1775050538746,11.0,112336
1775050539805,8.7,112336
1775050540870,15.4,112336
1775050541936,16.6,112336
1775050542989,12.6,112336
1775050544057,9.6,112352
1775050545101,14.6,112352
1775050546169,13.7,112352
1775050547214,13.5,112368
1775050548276,15.7,112368
1775050549340,12.7,112368
1775050550393,10.7,112368
1775050551452,7.5,112368
1775050552525,13.2,112368
1775050553567,13.1,112368
1775050554618,8.4,112368
1775050555687,9.4,112368
1775050556757,16.5,112368
1775050557814,18.1,112368
1775050558861,11.7,112368
1775050559912,10.3,112368
1775050560972,9.6,112368
1775050562026,13.3,112368
1775050563083,14.4,112368
1775050564127,8.8,112368
1775050565189,10.3,112368
1775050566243,12.5,112368
1775050567302,12.9,112368
1775050568359,11.5,112368
1775050569400,7.1,112368
1775050570455,7.4,112368
1775050571520,18.2,112368
1775050572578,14.2,112368
1775050573634,9.4,112368
1775050574689,7.7,112368
1775050575751,8.7,112304
1775050576803,11.2,112304
1775050577855,12.4,115376
1775050578908,8.5,115376
1775050579968,9.5,115376
1775050581027,15.3,115376
1775050582069,15.4,115376
1775050583123,9.5,114048
1775050584208,8.8,114048
1775050585270,12.3,114064
1775050586312,13.6,113872
1775050587364,10.6,113776
1775050588409,6.2,113520
1775050589455,7.8,113520
1775050590507,7.0,112960
1775050591555,11.3,112960
1775050592599,11.2,112960
1775050593648,13.4,112896
1775050594705,8.2,112896
1775050595751,8.1,112896
1775050596803,13.0,112896
1775050597855,14.3,112896
